Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
0,0x800C,0.0037,0.1878
1,0x800B,0.0034,0.1722
2,0x800B,0.0034,0.1722
3,0x800B,0.0034,0.1722
4,0x800B,0.0034,0.1722
5,0x800B,0.0034,0.1722
6,0x800C,0.0037,0.1878
7,0x800C,0.0037,0.1878
8,0x800C,0.0037,0.1878
9,0x800C,0.0037,0.1878
10,0x800C,0.0037,0.1878
11,0x800C,0.0037,0.1878
12,0x800C,0.0037,0.1878
13,0x800C,0.0037,0.1878
14,0x800C,0.0037,0.1878
15,0x800C,0.0037,0.1878
16,0x800B,0.0034,0.1722
17,0x800B,0.0034,0.1722
18,0x800B,0.0034,0.1722
19,0x800B,0.0034,0.1722
20,0x800C,0.0037,0.1878
21,0x800C,0.0037,0.1878
22,0x800D,0.0041,0.2035
23,0x800C,0.0037,0.1878
24,0x800B,0.0034,0.1722
25,0x800C,0.0037,0.1878
26,0x800C,0.0037,0.1878
27,0x800C,0.0037,0.1878
28,0x800B,0.0034,0.1722
29,0x800C,0.0037,0.1878
30,0x800C,0.0037,0.1878
31,0x800B,0.0034,0.1722
32,0x800B,0.0034,0.1722
33,0x800B,0.0034,0.1722
34,0x800B,0.0034,0.1722
35,0x800C,0.0037,0.1878
36,0x800B,0.0034,0.1722
37,0x800C,0.0037,0.1878
38,0x800C,0.0037,0.1878
39,0x800C,0.0037,0.1878
40,0x800C,0.0037,0.1878
41,0x800C,0.0037,0.1878
42,0x800C,0.0037,0.1878
43,0x800C,0.0037,0.1878
44,0x800C,0.0037,0.1878
45,0x800C,0.0037,0.1878
46,0x800C,0.0037,0.1878
47,0x800C,0.0037,0.1878
48,0x800C,0.0037,0.1878
49,0x800B,0.0034,0.1722
50,0x800C,0.0037,0.1878
51,0x800B,0.0034,0.1722
52,0x800B,0.0034,0.1722
53,0x800B,0.0034,0.1722
54,0x800C,0.0037,0.1878
55,0x800D,0.0041,0.2035
56,0x800C,0.0037,0.1878
57,0x800B,0.0034,0.1722
58,0x800C,0.0037,0.1878
59,0x800C,0.0037,0.1878
60,0x800D,0.0041,0.2035
61,0x800D,0.0041,0.2035
62,0x800C,0.0037,0.1878
63,0x800C,0.0037,0.1878
64,0x800C,0.0037,0.1878
65,0x800B,0.0034,0.1722
66,0x800C,0.0037,0.1878
67,0x800B,0.0034,0.1722
68,0x800C,0.0037,0.1878
69,0x800B,0.0034,0.1722
70,0x800C,0.0037,0.1878
71,0x800C,0.0037,0.1878
72,0x800C,0.0037,0.1878
73,0x800C,0.0037,0.1878
74,0x800B,0.0034,0.1722
75,0x800B,0.0034,0.1722
76,0x800C,0.0037,0.1878
77,0x800C,0.0037,0.1878
78,0x800C,0.0037,0.1878
79,0x800C,0.0037,0.1878
80,0x800B,0.0034,0.1722
81,0x800D,0.0041,0.2035
82,0x800C,0.0037,0.1878
83,0x800B,0.0034,0.1722
84,0x800C,0.0037,0.1878
85,0x800C,0.0037,0.1878
86,0x800B,0.0034,0.1722
87,0x800C,0.0037,0.1878
88,0x800C,0.0037,0.1878
89,0x800C,0.0037,0.1878
90,0x800B,0.0034,0.1722
91,0x800B,0.0034,0.1722
92,0x800B,0.0034,0.1722
93,0x800C,0.0037,0.1878
94,0x800C,0.0037,0.1878
95,0x800C,0.0037,0.1878
96,0x800C,0.0037,0.1878
97,0x800C,0.0037,0.1878
98,0x800C,0.0037,0.1878
99,0x800C,0.0037,0.1878
100,0x800D,0.0041,0.2035
101,0x800B,0.0034,0.1722
102,0x800B,0.0034,0.1722
103,0x800B,0.0034,0.1722
104,0x800C,0.0037,0.1878
105,0x800C,0.0037,0.1878
106,0x800C,0.0037,0.1878
107,0x800B,0.0034,0.1722
108,0x800B,0.0034,0.1722
109,0x800C,0.0037,0.1878
110,0x800C,0.0037,0.1878
111,0x800D,0.0041,0.2035
112,0x800C,0.0037,0.1878
113,0x800B,0.0034,0.1722
114,0x800B,0.0034,0.1722
115,0x800C,0.0037,0.1878
116,0x800C,0.0037,0.1878
117,0x800C,0.0037,0.1878
118,0x800B,0.0034,0.1722
119,0x800B,0.0034,0.1722
120,0x800C,0.0037,0.1878
121,0x800C,0.0037,0.1878
122,0x800C,0.0037,0.1878
123,0x800C,0.0037,0.1878
124,0x800C,0.0037,0.1878
125,0x800D,0.0041,0.2035
126,0x800C,0.0037,0.1878
127,0x800D,0.0041,0.2035
128,0x800D,0.0041,0.2035
129,0x800C,0.0037,0.1878
130,0x800C,0.0037,0.1878
131,0x800C,0.0037,0.1878
132,0x800C,0.0037,0.1878
133,0x800C,0.0037,0.1878
134,0x800B,0.0034,0.1722
135,0x800B,0.0034,0.1722
136,0x800C,0.0037,0.1878
137,0x800C,0.0037,0.1878
138,0x800B,0.0034,0.1722
139,0x800C,0.0037,0.1878
140,0x800B,0.0034,0.1722
141,0x800B,0.0034,0.1722
142,0x800B,0.0034,0.1722
143,0x800C,0.0037,0.1878
144,0x800B,0.0034,0.1722
145,0x800D,0.0041,0.2035
146,0x800C,0.0037,0.1878
147,0x800C,0.0037,0.1878
148,0x800C,0.0037,0.1878
149,0x800B,0.0034,0.1722
150,0x800C,0.0037,0.1878
151,0x800B,0.0034,0.1722
152,0x800B,0.0034,0.1722
153,0x800B,0.0034,0.1722
154,0x800B,0.0034,0.1722
155,0x800C,0.0037,0.1878
156,0x800C,0.0037,0.1878
157,0x800B,0.0034,0.1722
158,0x800B,0.0034,0.1722
159,0x800B,0.0034,0.1722
160,0x800C,0.0037,0.1878
161,0x800B,0.0034,0.1722
162,0x800C,0.0037,0.1878
163,0x800C,0.0037,0.1878
164,0x800C,0.0037,0.1878
165,0x800C,0.0037,0.1878
166,0x800C,0.0037,0.1878
167,0x800C,0.0037,0.1878
168,0x800C,0.0037,0.1878
169,0x800C,0.0037,0.1878
170,0x800B,0.0034,0.1722
171,0x800C,0.0037,0.1878
172,0x800C,0.0037,0.1878
173,0x800C,0.0037,0.1878
174,0x800B,0.0034,0.1722
175,0x800C,0.0037,0.1878
176,0x800D,0.0041,0.2035
177,0x800D,0.0041,0.2035
178,0x800C,0.0037,0.1878
179,0x800C,0.0037,0.1878
180,0x800B,0.0034,0.1722
181,0x800C,0.0037,0.1878
182,0x800B,0.0034,0.1722
183,0x800D,0.0041,0.2035
184,0x800B,0.0034,0.1722
185,0x800C,0.0037,0.1878
186,0x800A,0.0031,0.1565
187,0x800C,0.0037,0.1878
188,0x800B,0.0034,0.1722
189,0x800C,0.0037,0.1878
190,0x800C,0.0037,0.1878
191,0x800B,0.0034,0.1722
192,0x800C,0.0037,0.1878
193,0x800D,0.0041,0.2035
194,0x800C,0.0037,0.1878
195,0x800D,0.0041,0.2035
196,0x800C,0.0037,0.1878
197,0x800C,0.0037,0.1878
198,0x800D,0.0041,0.2035
199,0x800C,0.0037,0.1878
200,0x800C,0.0037,0.1878
201,0x800B,0.0034,0.1722
202,0x800B,0.0034,0.1722
203,0x800B,0.0034,0.1722
204,0x800C,0.0037,0.1878
205,0x800C,0.0037,0.1878
206,0x800B,0.0034,0.1722
207,0x800B,0.0034,0.1722
208,0x800B,0.0034,0.1722
209,0x800C,0.0037,0.1878
210,0x800D,0.0041,0.2035
211,0x800D,0.0041,0.2035
212,0x800B,0.0034,0.1722
213,0x800C,0.0037,0.1878
214,0x800B,0.0034,0.1722
215,0x800C,0.0037,0.1878
216,0x800C,0.0037,0.1878
217,0x800C,0.0037,0.1878
218,0x800B,0.0034,0.1722
219,0x800B,0.0034,0.1722
220,0x800C,0.0037,0.1878
221,0x800C,0.0037,0.1878
222,0x800B,0.0034,0.1722
223,0x800B,0.0034,0.1722
224,0x800C,0.0037,0.1878
225,0x800B,0.0034,0.1722
226,0x800C,0.0037,0.1878
227,0x800C,0.0037,0.1878
228,0x800C,0.0037,0.1878
229,0x800C,0.0037,0.1878
230,0x800B,0.0034,0.1722
231,0x800B,0.0034,0.1722
232,0x800B,0.0034,0.1722
233,0x800C,0.0037,0.1878
234,0x800C,0.0037,0.1878
235,0x800B,0.0034,0.1722
236,0x800C,0.0037,0.1878
237,0x800C,0.0037,0.1878
238,0x800B,0.0034,0.1722
239,0x800C,0.0037,0.1878
240,0x800C,0.0037,0.1878
241,0x800C,0.0037,0.1878
242,0x800D,0.0041,0.2035
243,0x800D,0.0041,0.2035
244,0x800B,0.0034,0.1722
245,0x800C,0.0037,0.1878
246,0x800C,0.0037,0.1878
247,0x800C,0.0037,0.1878
248,0x800C,0.0037,0.1878
249,0x800C,0.0037,0.1878
250,0x800C,0.0037,0.1878
251,0x800C,0.0037,0.1878
252,0x800B,0.0034,0.1722
253,0x800B,0.0034,0.1722
254,0x800C,0.0037,0.1878
255,0x800C,0.0037,0.1878
256,0x800B,0.0034,0.1722
257,0x800C,0.0037,0.1878
258,0x800B,0.0034,0.1722
259,0x800C,0.0037,0.1878
260,0x800C,0.0037,0.1878
261,0x800D,0.0041,0.2035
262,0x800C,0.0037,0.1878
263,0x800B,0.0034,0.1722
264,0x800B,0.0034,0.1722
265,0x800C,0.0037,0.1878
266,0x800C,0.0037,0.1878
267,0x800C,0.0037,0.1878
268,0x800C,0.0037,0.1878
269,0x800B,0.0034,0.1722
270,0x800B,0.0034,0.1722
271,0x800C,0.0037,0.1878
272,0x800C,0.0037,0.1878
273,0x800B,0.0034,0.1722
274,0x800C,0.0037,0.1878
275,0x800C,0.0037,0.1878
276,0x800C,0.0037,0.1878
277,0x800C,0.0037,0.1878
278,0x800C,0.0037,0.1878
279,0x800C,0.0037,0.1878
280,0x800C,0.0037,0.1878
281,0x800B,0.0034,0.1722
282,0x800C,0.0037,0.1878
283,0x800C,0.0037,0.1878
284,0x800C,0.0037,0.1878
285,0x800C,0.0037,0.1878
286,0x800B,0.0034,0.1722
287,0x800C,0.0037,0.1878
288,0x800C,0.0037,0.1878
289,0x800B,0.0034,0.1722
290,0x800C,0.0037,0.1878
291,0x800C,0.0037,0.1878
292,0x800C,0.0037,0.1878
293,0x800C,0.0037,0.1878
294,0x800C,0.0037,0.1878
295,0x800D,0.0041,0.2035
296,0x800C,0.0037,0.1878
297,0x800C,0.0037,0.1878
298,0x800C,0.0037,0.1878
299,0x800C,0.0037,0.1878
300,0x800C,0.0037,0.1878
301,0x800B,0.0034,0.1722
302,0x800C,0.0037,0.1878
303,0x800B,0.0034,0.1722
304,0x800B,0.0034,0.1722
305,0x800B,0.0034,0.1722
306,0x800C,0.0037,0.1878
307,0x800C,0.0037,0.1878
308,0x800C,0.0037,0.1878
309,0x800C,0.0037,0.1878
310,0x800C,0.0037,0.1878
311,0x800C,0.0037,0.1878
312,0x800C,0.0037,0.1878
313,0x800C,0.0037,0.1878
314,0x800B,0.0034,0.1722
315,0x800C,0.0037,0.1878
316,0x800C,0.0037,0.1878
317,0x800B,0.0034,0.1722
318,0x800C,0.0037,0.1878
319,0x800B,0.0034,0.1722
320,0x800B,0.0034,0.1722
321,0x800C,0.0037,0.1878
322,0x800B,0.0034,0.1722
323,0x800C,0.0037,0.1878
324,0x800C,0.0037,0.1878
325,0x800C,0.0037,0.1878
326,0x800C,0.0037,0.1878
327,0x800C,0.0037,0.1878
328,0x800C,0.0037,0.1878
329,0x800B,0.0034,0.1722
330,0x800B,0.0034,0.1722
331,0x800C,0.0037,0.1878
332,0x800C,0.0037,0.1878
333,0x800B,0.0034,0.1722
334,0x800C,0.0037,0.1878
335,0x800B,0.0034,0.1722
336,0x800B,0.0034,0.1722
337,0x800B,0.0034,0.1722
338,0x800B,0.0034,0.1722
339,0x800B,0.0034,0.1722
340,0x800B,0.0034,0.1722
341,0x800B,0.0034,0.1722
342,0x800B,0.0034,0.1722
343,0x800D,0.0041,0.2035
344,0x800C,0.0037,0.1878
345,0x800C,0.0037,0.1878
346,0x800B,0.0034,0.1722
347,0x800C,0.0037,0.1878
348,0x800B,0.0034,0.1722
349,0x800B,0.0034,0.1722
350,0x800C,0.0037,0.1878
351,0x800B,0.0034,0.1722
352,0x800B,0.0034,0.1722
353,0x800B,0.0034,0.1722
354,0x800D,0.0041,0.2035
355,0x800C,0.0037,0.1878
356,0x800D,0.0041,0.2035
357,0x800C,0.0037,0.1878
358,0x800B,0.0034,0.1722
359,0x800C,0.0037,0.1878
360,0x800C,0.0037,0.1878
361,0x800C,0.0037,0.1878
362,0x800D,0.0041,0.2035
363,0x800C,0.0037,0.1878
364,0x800B,0.0034,0.1722
365,0x800B,0.0034,0.1722
366,0x800C,0.0037,0.1878
367,0x800C,0.0037,0.1878
368,0x800C,0.0037,0.1878
369,0x800B,0.0034,0.1722
370,0x800C,0.0037,0.1878
371,0x800B,0.0034,0.1722
372,0x800B,0.0034,0.1722
373,0x800B,0.0034,0.1722
374,0x800C,0.0037,0.1878
375,0x800D,0.0041,0.2035
376,0x800C,0.0037,0.1878
377,0x800C,0.0037,0.1878
378,0x800C,0.0037,0.1878
379,0x800C,0.0037,0.1878
380,0x800B,0.0034,0.1722
381,0x800C,0.0037,0.1878
382,0x800C,0.0037,0.1878
383,0x800C,0.0037,0.1878
384,0x800D,0.0041,0.2035
385,0x800B,0.0034,0.1722
386,0x800B,0.0034,0.1722
387,0x800B,0.0034,0.1722
388,0x800B,0.0034,0.1722
389,0x800B,0.0034,0.1722
390,0x800C,0.0037,0.1878
391,0x800C,0.0037,0.1878
392,0x800C,0.0037,0.1878
393,0x800D,0.0041,0.2035
394,0x800D,0.0041,0.2035
395,0x800C,0.0037,0.1878
396,0x800B,0.0034,0.1722
397,0x800C,0.0037,0.1878
398,0x800B,0.0034,0.1722
399,0x800D,0.0041,0.2035
400,0x800B,0.0034,0.1722
401,0x800B,0.0034,0.1722
402,0x800B,0.0034,0.1722
403,0x800B,0.0034,0.1722
