Amostra,Codigo_Digital,Tensao_V
0,0x7FFE,-0.0006
1,0x7FFF,-0.0003
2,0x7FFF,-0.0003
3,0x7FFF,-0.0003
4,0x7FFF,-0.0003
5,0x7FFF,-0.0003
6,0x7FFE,-0.0006
7,0x7FFE,-0.0006
8,0x7FFF,-0.0003
9,0x7FFF,-0.0003
10,0x7FFF,-0.0003
11,0x7FFF,-0.0003
12,0x7FFF,-0.0003
13,0x7FFF,-0.0003
14,0x8001,0.0003
15,0x7FFF,-0.0003
16,0x7FFF,-0.0003
17,0x7FFF,-0.0003
18,0x8000,0.0000
19,0x7FFF,-0.0003
20,0x7FFF,-0.0003
21,0x7FFF,-0.0003
22,0x7FFF,-0.0003
23,0x7FFE,-0.0006
24,0x7FFF,-0.0003
25,0x8000,0.0000
26,0x7FFF,-0.0003
27,0x8000,0.0000
28,0x8000,0.0000
29,0x7FFF,-0.0003
30,0x7FFF,-0.0003
31,0x7FFF,-0.0003
32,0x7FFF,-0.0003
33,0x7FFF,-0.0003
34,0x7FFF,-0.0003
35,0x7FFF,-0.0003
36,0x8000,0.0000
37,0x7FFF,-0.0003
38,0x7FFF,-0.0003
39,0x8000,0.0000
40,0x7FFF,-0.0003
41,0x8000,0.0000
42,0x7FFF,-0.0003
43,0x7FFE,-0.0006
44,0x7FFF,-0.0003
45,0x7FFF,-0.0003
46,0x7FFF,-0.0003
47,0x7FFF,-0.0003
48,0x7FFF,-0.0003
49,0x7FFF,-0.0003
50,0x7FFF,-0.0003
51,0x7FFF,-0.0003
52,0x8000,0.0000
53,0x7FFF,-0.0003
54,0x7FFF,-0.0003
55,0x7FFF,-0.0003
56,0x8000,0.0000
57,0x8000,0.0000
58,0x7FFF,-0.0003
59,0x8000,0.0000
60,0x8000,0.0000
61,0x7FFF,-0.0003
62,0x7FFF,-0.0003
63,0x8000,0.0000
64,0x7FFF,-0.0003
65,0x7FFF,-0.0003
66,0x7FFF,-0.0003
67,0x8000,0.0000
68,0x7FFF,-0.0003
69,0x7FFF,-0.0003
70,0x8000,0.0000
71,0x7FFF,-0.0003
72,0x7FFF,-0.0003
73,0x7FFF,-0.0003
74,0x7FFF,-0.0003
75,0x7FFF,-0.0003
76,0x7FFF,-0.0003
77,0x7FFF,-0.0003
78,0x7FFF,-0.0003
79,0x7FFF,-0.0003
80,0x8000,0.0000
81,0x7FFE,-0.0006
82,0x7FFF,-0.0003
83,0x7FFF,-0.0003
84,0x8000,0.0000
85,0x7FFF,-0.0003
86,0x7FFF,-0.0003
87,0x7FFF,-0.0003
88,0x7FFF,-0.0003
89,0x7FFF,-0.0003
90,0x7FFE,-0.0006
91,0x7FFF,-0.0003
92,0x7FFF,-0.0003
93,0x7FFE,-0.0006
94,0x7FFF,-0.0003
95,0x7FFF,-0.0003
96,0x8000,0.0000
97,0x8000,0.0000
98,0x7FFF,-0.0003
99,0x7FFF,-0.0003
100,0x7FFE,-0.0006
101,0x7FFF,-0.0003
102,0x8000,0.0000
103,0x8000,0.0000
104,0x7FFE,-0.0006
105,0x7FFF,-0.0003
106,0x7FFF,-0.0003
107,0x8000,0.0000
108,0x8000,0.0000
109,0x7FFE,-0.0006
110,0x7FFF,-0.0003
111,0x7FFF,-0.0003
112,0x7FFF,-0.0003
113,0x7FFF,-0.0003
114,0x8000,0.0000
115,0x7FFF,-0.0003
116,0x7FFF,-0.0003
117,0x7FFF,-0.0003
118,0x7FFF,-0.0003
119,0x7FFF,-0.0003
120,0x7FFF,-0.0003
121,0x7FFF,-0.0003
122,0x7FFF,-0.0003
123,0x7FFF,-0.0003
124,0x7FFF,-0.0003
125,0x7FFF,-0.0003
126,0x7FFF,-0.0003
127,0x7FFF,-0.0003
128,0x8000,0.0000
129,0x8000,0.0000
130,0x7FFE,-0.0006
131,0x7FFF,-0.0003
132,0x7FFE,-0.0006
133,0x7FFF,-0.0003
134,0x8000,0.0000
135,0x7FFF,-0.0003
136,0x7FFF,-0.0003
137,0x7FFF,-0.0003
138,0x8000,0.0000
139,0x7FFF,-0.0003
140,0x7FFF,-0.0003
141,0x7FFF,-0.0003
142,0x7FFF,-0.0003
143,0x7FFE,-0.0006
144,0x7FFF,-0.0003
145,0x7FFE,-0.0006
146,0x8000,0.0000
147,0x7FFE,-0.0006
148,0x7FFF,-0.0003
149,0x7FFF,-0.0003
150,0x7FFF,-0.0003
151,0x8000,0.0000
152,0x8000,0.0000
153,0x7FFF,-0.0003
154,0x7FFE,-0.0006
155,0x8000,0.0000
156,0x7FFF,-0.0003
157,0x7FFF,-0.0003
158,0x8000,0.0000
159,0x7FFF,-0.0003
160,0x8000,0.0000
161,0x8000,0.0000
162,0x7FFF,-0.0003
163,0x8000,0.0000
164,0x7FFF,-0.0003
165,0x7FFF,-0.0003
166,0x7FFF,-0.0003
167,0x7FFF,-0.0003
168,0x7FFF,-0.0003
169,0x7FFF,-0.0003
170,0x7FFE,-0.0006
171,0x7FFF,-0.0003
172,0x7FFF,-0.0003
173,0x8000,0.0000
174,0x7FFF,-0.0003
175,0x7FFF,-0.0003
176,0x7FFF,-0.0003
177,0x7FFF,-0.0003
178,0x7FFF,-0.0003
179,0x7FFF,-0.0003
180,0x7FFF,-0.0003
181,0x8000,0.0000
182,0x7FFF,-0.0003
183,0x7FFF,-0.0003
184,0x8000,0.0000
185,0x7FFF,-0.0003
186,0x7FFF,-0.0003
187,0x7FFF,-0.0003
188,0x7FFE,-0.0006
189,0x8000,0.0000
190,0x8000,0.0000
191,0x7FFF,-0.0003
192,0x8000,0.0000
193,0x8000,0.0000
194,0x7FFE,-0.0006
195,0x7FFF,-0.0003
196,0x8000,0.0000
197,0x8000,0.0000
198,0x8000,0.0000
199,0x7FFF,-0.0003
200,0x8000,0.0000
201,0x7FFF,-0.0003
202,0x7FFF,-0.0003
203,0x7FFF,-0.0003
204,0x7FFF,-0.0003
205,0x7FFF,-0.0003
206,0x7FFF,-0.0003
207,0x7FFE,-0.0006
208,0x7FFF,-0.0003
209,0x7FFF,-0.0003
210,0x8000,0.0000
211,0x8000,0.0000
212,0x7FFF,-0.0003
213,0x7FFF,-0.0003
214,0x8000,0.0000
215,0x7FFF,-0.0003
216,0x7FFF,-0.0003
217,0x7FFF,-0.0003
218,0x7FFF,-0.0003
219,0x7FFF,-0.0003
220,0x7FFF,-0.0003
221,0x7FFF,-0.0003
222,0x7FFF,-0.0003
223,0x7FFF,-0.0003
224,0x7FFF,-0.0003
225,0x8000,0.0000
226,0x7FFF,-0.0003
227,0x7FFF,-0.0003
228,0x7FFF,-0.0003
229,0x7FFF,-0.0003
230,0x7FFF,-0.0003
231,0x7FFF,-0.0003
232,0x8000,0.0000
233,0x7FFF,-0.0003
234,0x7FFF,-0.0003
235,0x7FFF,-0.0003
236,0x7FFF,-0.0003
237,0x7FFF,-0.0003
238,0x7FFF,-0.0003
239,0x7FFE,-0.0006
240,0x7FFF,-0.0003
241,0x7FFF,-0.0003
242,0x8000,0.0000
243,0x7FFF,-0.0003
244,0x8000,0.0000
245,0x7FFF,-0.0003
246,0x7FFE,-0.0006
247,0x7FFE,-0.0006
248,0x7FFF,-0.0003
249,0x7FFF,-0.0003
250,0x8000,0.0000
251,0x7FFF,-0.0003
252,0x7FFF,-0.0003
253,0x7FFF,-0.0003
254,0x8000,0.0000
255,0x8000,0.0000
256,0x7FFE,-0.0006
257,0x7FFF,-0.0003
258,0x7FFF,-0.0003
259,0x8000,0.0000
260,0x7FFF,-0.0003
261,0x7FFE,-0.0006
262,0x8000,0.0000
263,0x7FFF,-0.0003
264,0x7FFF,-0.0003
265,0x7FFE,-0.0006
266,0x7FFF,-0.0003
267,0x8000,0.0000
268,0x7FFF,-0.0003
269,0x8000,0.0000
270,0x8000,0.0000
271,0x7FFE,-0.0006
272,0x8000,0.0000
273,0x7FFF,-0.0003
274,0x8000,0.0000
275,0x7FFF,-0.0003
276,0x7FFF,-0.0003
277,0x7FFF,-0.0003
278,0x7FFF,-0.0003
279,0x7FFF,-0.0003
280,0x7FFF,-0.0003
281,0x7FFF,-0.0003
282,0x8000,0.0000
283,0x7FFF,-0.0003
284,0x7FFF,-0.0003
285,0x8000,0.0000
286,0x7FFF,-0.0003
287,0x7FFF,-0.0003
288,0x8000,0.0000
289,0x7FFE,-0.0006
290,0x7FFF,-0.0003
291,0x7FFF,-0.0003
292,0x7FFF,-0.0003
293,0x7FFF,-0.0003
294,0x7FFF,-0.0003
295,0x7FFF,-0.0003
296,0x7FFF,-0.0003
297,0x7FFF,-0.0003
298,0x7FFF,-0.0003
299,0x7FFF,-0.0003
300,0x7FFF,-0.0003
301,0x8000,0.0000
302,0x7FFF,-0.0003
303,0x7FFF,-0.0003
304,0x7FFF,-0.0003
305,0x7FFF,-0.0003
306,0x8000,0.0000
307,0x8000,0.0000
308,0x7FFF,-0.0003
309,0x7FFF,-0.0003
310,0x8000,0.0000
311,0x7FFF,-0.0003
312,0x7FFF,-0.0003
313,0x7FFF,-0.0003
314,0x7FFF,-0.0003
315,0x7FFF,-0.0003
316,0x7FFF,-0.0003
317,0x7FFF,-0.0003
318,0x7FFE,-0.0006
319,0x7FFF,-0.0003
320,0x7FFF,-0.0003
321,0x7FFF,-0.0003
322,0x7FFE,-0.0006
323,0x7FFF,-0.0003
324,0x7FFE,-0.0006
325,0x7FFF,-0.0003
326,0x7FFF,-0.0003
327,0x7FFF,-0.0003
328,0x7FFF,-0.0003
329,0x8000,0.0000
330,0x7FFF,-0.0003
331,0x7FFF,-0.0003
332,0x8000,0.0000
333,0x8000,0.0000
334,0x7FFE,-0.0006
335,0x7FFE,-0.0006
336,0x8000,0.0000
