Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
0,0x276F,-7.0853,-354.9097
1,0x0F92,-8.9944,-450.5364
2,0x0819,-9.5922,-480.4814
3,0x117A,-8.8419,-442.8976
4,0x26BE,-7.1406,-357.6804
5,0x4C0C,-4.1562,-208.1903
6,0x791F,-0.5503,-27.5657
7,0xA2F9,2.7978,140.1450
8,0xCD29,6.1728,309.2018
9,0xE929,8.4128,421.4054
10,0xF704,9.5212,476.9281
11,0xF538,9.3775,469.7275
12,0xE105,7.7616,388.7837
13,0xC2E3,5.3509,268.0333
14,0x969A,1.8081,90.5706
15,0x69DC,-1.7713,-88.7235
16,0x40C2,-5.0594,-253.4287
17,0x1EBE,-7.7806,-389.7386
18,0x0B17,-9.3528,-468.4909
19,0x081C,-9.5913,-480.4344
20,0x17CB,-8.3366,-417.5860
21,0x302F,-6.3853,-319.8461
22,0x5A27,-3.0278,-151.6659
23,0x886E,0.6744,33.7801
24,0xB057,3.8672,193.7109
25,0xD895,7.0866,354.9724
26,0xF01C,8.9688,449.2528
27,0xF7CB,9.5834,480.0431
28,0xEEF0,8.8750,444.5568
29,0xDA0A,7.2031,360.8111
30,0xB3E4,4.1512,207.9399
31,0x86F4,0.5562,27.8631
32,0x5D65,-2.7684,-138.6735
33,0x3327,-6.1478,-307.9495
34,0x177F,-8.3603,-418.7757
35,0x092E,-9.5056,-476.1454
36,0x0AED,-9.3659,-469.1483
37,0x1EF0,-7.7650,-388.9559
38,0x3CF7,-5.3628,-268.6281
39,0x6920,-1.8300,-91.6664
40,0x95E8,1.7525,87.7843
41,0xBF14,5.0462,252.7712
42,0xE118,7.7675,389.0811
43,0xF4CB,9.3434,468.0213
44,0xF760,9.5500,478.3682
45,0xE895,8.3666,419.0887
46,0xD08F,6.4447,322.8203
47,0xA624,3.0512,152.8399
48,0x77FD,-0.6409,-32.1051
49,0x4FC0,-3.8600,-193.3509
50,0x27BE,-7.0606,-353.6731
51,0x0FE2,-8.9694,-449.2841
52,0x088C,-9.5562,-478.6812
53,0x108B,-8.9166,-446.6387
54,0x262A,-7.1869,-359.9971
55,0x4BE7,-4.1678,-208.7695
56,0x78F0,-0.5650,-28.3014
57,0xA29A,2.7681,138.6579
58,0xCCD9,6.1478,307.9495
59,0xE86A,8.3531,418.4156
60,0xF6FB,9.5184,476.7872
61,0xF50D,9.3641,469.0544
62,0xE154,7.7863,390.0204
63,0xC2FD,5.3591,268.4403
64,0x96FF,1.8397,92.1516
65,0x6A48,-1.7375,-87.0330
66,0x4133,-5.0241,-251.6599
67,0x1EF2,-7.7644,-388.9246
68,0x0BE7,-9.2878,-465.2350
69,0x0859,-9.5722,-479.4796
70,0x1716,-8.3931,-420.4193
71,0x2FFB,-6.4016,-320.6601
72,0x59BA,-3.0619,-153.3721
73,0x87D7,0.6272,31.4164
74,0xAFE0,3.8300,191.8482
75,0xD862,7.0706,354.1740
76,0xEFDB,8.9484,448.2354
77,0xF7B1,9.5753,479.6361
78,0xF055,8.9866,450.1451
79,0xDA52,7.2256,361.9381
80,0xB4A1,4.2103,210.8984
81,0x879B,0.6084,30.4772
82,0x5DBD,-2.7409,-137.2961
83,0x338A,-6.1169,-306.3998
84,0x17B5,-8.3434,-417.9304
85,0x08E4,-9.5288,-477.3038
86,0x0B42,-9.3394,-467.8177
87,0x1F13,-7.7541,-388.4081
88,0x3CAA,-5.3869,-269.8335
89,0x68BC,-1.8613,-93.2317
90,0x959A,1.7281,86.5634
91,0xBE7A,4.9981,250.3606
92,0xE0EF,7.7547,388.4393
93,0xF4ED,9.3541,468.5535
94,0xF782,9.5606,478.9004
95,0xE85E,8.3494,418.2278
96,0xD043,6.4209,321.6306
97,0xA62E,3.0544,152.9964
98,0x786D,-0.6059,-30.3520
99,0x5064,-3.8087,-190.7838
100,0x2810,-7.0350,-352.3895
101,0x10D1,-8.8947,-445.5430
102,0x083E,-9.5806,-479.9022
103,0x11A1,-8.8297,-442.2870
104,0x2626,-7.1881,-360.0597
105,0x4B36,-4.2231,-211.5402
106,0x7836,-0.6231,-31.2129
107,0xA22A,2.7331,136.9047
108,0xCC5B,6.1084,305.9772
109,0xE77E,8.2794,414.7214
110,0xF695,9.4866,475.1906
111,0xF57E,9.3994,470.8232
112,0xE18A,7.8031,390.8656
113,0xC3D9,5.4278,271.8841
114,0x9796,1.8869,94.5153
115,0x6AB5,-1.7034,-85.3267
116,0x41C2,-4.9794,-249.4214
117,0x1F43,-7.7391,-387.6567
118,0x0B2B,-9.3466,-468.1778
119,0x07EF,-9.6053,-481.1388
120,0x173A,-8.3819,-419.8557
121,0x2F36,-6.4631,-323.7438
122,0x5987,-3.0778,-154.1704
123,0x878B,0.6034,30.2267
124,0xAF66,3.7919,189.9385
125,0xD7C4,7.0212,351.7008
126,0xF01F,8.9697,449.2998
127,0xF7BA,9.5781,479.7770
128,0xEF9D,8.9291,447.2649
129,0xD9FF,7.1997,360.6389
130,0xB4D8,4.2275,211.7593
131,0x8804,0.6413,32.1208
132,0x5E22,-2.7094,-135.7151
133,0x33E8,-6.0875,-304.9284
134,0x1859,-8.2922,-415.3632
135,0x0924,-9.5087,-476.3019
136,0x0B1A,-9.3519,-468.4439
137,0x1E0D,-7.8359,-392.5092
138,0x3C2F,-5.4253,-271.7589
139,0x6829,-1.9072,-95.5328
140,0x9541,1.7003,85.1702
141,0xBDE4,4.9513,248.0126
142,0xE0DF,7.7497,388.1889
143,0xF4B9,9.3378,467.7395
144,0xF7F3,9.5959,480.6693
145,0xE8A7,8.3722,419.3705
146,0xD123,6.4909,325.1370
147,0xA6B1,3.0953,155.0470
148,0x78EB,-0.5666,-28.3796
149,0x50DC,-3.7713,-188.9053
150,0x2848,-7.0175,-351.5129
151,0x1180,-8.8400,-442.8036
152,0x086A,-9.5669,-479.2135
153,0x0FD8,-8.9725,-449.4407
154,0x25F4,-7.2038,-360.8424
155,0x4ACD,-4.2559,-213.1838
156,0x77E6,-0.6481,-32.4652
157,0xA1BE,2.6994,135.2141
158,0xCBE9,6.0728,304.1927
159,0xE7B6,8.2969,415.5980
160,0xF6D5,9.5066,476.1924
161,0xF525,9.3716,469.4301
162,0xE175,7.7966,390.5369
163,0xC408,5.4425,272.6198
164,0x97F2,1.9156,95.9554
165,0x6B43,-1.6591,-83.1040
166,0x4244,-4.9387,-247.3865
167,0x1FB8,-7.7025,-385.8252
168,0x0BEA,-9.2869,-465.1880
169,0x0832,-9.5844,-480.0901
170,0x171A,-8.3919,-420.3567
171,0x2F49,-6.4572,-323.4464
172,0x58E9,-3.1272,-156.6437
173,0x86DD,0.5491,27.5030
174,0xAEB9,3.7378,187.2304
175,0xD79C,7.0087,351.0746
176,0xEFCE,8.9444,448.0319
177,0xF7FF,9.5997,480.8571
178,0xF04E,8.9844,450.0355
179,0xDAC4,7.2613,363.7226
180,0xB5BD,4.2991,215.3440
181,0x889E,0.6894,34.5314
182,0x5E94,-2.6737,-133.9306
183,0x3463,-6.0491,-303.0031
184,0x18DC,-8.2513,-413.3126
185,0x09A0,-9.4700,-474.3609
186,0x09E1,-9.4497,-473.3435
187,0x1E98,-7.7925,-390.3334
188,0x3BCF,-5.4553,-273.2616
189,0x67E5,-1.9284,-96.5972
190,0x94B6,1.6569,82.9944
191,0xBD52,4.9056,245.7272
192,0xE05B,7.7084,386.1227
193,0xF4B5,9.3366,467.6769
194,0xF801,9.6003,480.8884
195,0xE8D9,8.3878,420.1532
196,0xD11C,6.4887,325.0274
197,0xA724,3.1312,156.8472
