Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
0,0xF378,9.2357,177.9921
1,0xF830,9.6112,185.2304
2,0xED39,8.7323,168.2913
3,0xD66F,6.9078,133.1289
4,0xAE30,3.6874,71.0639
5,0x8021,0.0027,0.0516
6,0x5805,-3.2054,-61.7760
7,0x2DFB,-6.5672,-126.5658
8,0x1291,-8.7586,-168.7986
9,0x0819,-9.5942,-184.9021
10,0x0BB4,-9.3039,-179.3074
11,0x21B9,-7.5408,-145.3290
12,0x4338,-4.8602,-93.6666
13,0x6F9A,-1.3093,-25.2329
14,0x9B62,2.1928,42.2599
15,0xC55B,5.5495,106.9512
16,0xE53F,8.0991,156.0884
17,0xF63D,9.4566,182.2502
18,0xF783,9.5566,184.1767
19,0xE44D,8.0181,154.5267
20,0xCAC8,5.9753,115.1581
21,0x9F38,2.4898,47.9846
22,0x7167,-1.1753,-22.6498
23,0x49DC,-4.3378,-83.5998
24,0x2389,-7.4023,-142.6589
25,0x0D64,-9.1720,-176.7655
26,0x07C4,-9.6201,-185.4010
27,0x1457,-8.6124,-165.9811
28,0x2A05,-6.8767,-132.5292
29,0x520F,-3.6728,-70.7835
30,0x7FE5,-0.0059,-0.1144
31,0xA84E,3.2262,62.1768
32,0xD1FD,6.5596,126.4186
33,0xEC14,8.6451,166.6101
34,0xF7CF,9.5816,184.6590
35,0xF48F,9.3197,179.6123
36,0xDE73,7.5495,145.4953
37,0xBCE8,4.8650,93.7606
38,0x9080,1.3123,25.2908
39,0x64B4,-2.1910,-42.2261
40,0x3AD0,-5.5412,-106.7909
41,0x1AEF,-8.0899,-155.9101
42,0x09F0,-9.4477,-182.0780
43,0x0835,-9.5842,-184.7090
44,0x19FF,-8.1594,-157.2507
45,0x3502,-5.9973,-115.5814
46,0x609F,-2.5077,-48.3295
47,0x8E98,1.1699,22.5458
48,0xB660,4.3515,83.8631
49,0xDCBA,7.4181,142.9643
50,0xF2DE,9.1875,177.0649
51,0xF83D,9.6153,185.3089
52,0xEC8C,8.6783,167.2498
53,0xD66B,6.9066,133.1052
54,0xAE01,3.6727,70.7814
55,0x8016,-0.0007,-0.0142
56,0x5808,-3.2045,-61.7574
57,0x2E01,-6.5653,-126.5292
58,0x1306,-8.7220,-168.0936
59,0x0864,-9.5707,-184.4502
60,0x0C9B,-9.2317,-177.9162
61,0x21C5,-7.5371,-145.2567
62,0x433C,-4.8589,-93.6425
63,0x6FAF,-1.3027,-25.1064
64,0x9B48,2.1847,42.1033
