Add Net: Net with name "NetD?_2" already exists
Added Member To Class: ClassName=DAQ_SCH Member=Component C? 100nF
Added Member To Class: ClassName=DAQ_SCH Member=Component C? 100nF
Added Member To Class: ClassName=DAQ_SCH Member=Component C? 100nF
Added Member To Class: ClassName=DAQ_SCH Member=Component C? 100nF
Added Member To Class: ClassName=DAQ_SCH Member=Component C? 330nF
Added Member To Class: ClassName=DAQ_SCH Member=Component D? BAT46ZFILM
Added Member To Class: ClassName=DAQ_SCH Member=Component D? BAT46ZFILM
Added Member To Class: ClassName=DAQ_SCH Member=Component J? SSW-123-06-T-D
Added Member To Class: ClassName=DAQ_SCH Member=Component J? SJ2-3574A-SMT-TR
Added Member To Class: ClassName=DAQ_SCH Member=Component J? SJ2-3574A-SMT-TR
Added Member To Class: ClassName=DAQ_SCH Member=Component J? SJ2-3574A-SMT-TR
Added Member To Class: ClassName=DAQ_SCH Member=Component J? SSW-123-06-T-D
Added Member To Class: ClassName=DAQ_SCH Member=Component P? 691313510004
Added Member To Class: ClassName=DAQ_SCH Member=Component U? ADS8688IDBTR
Added Member To Class: ClassName=DAQ_SCH Member=Component U? SN6501DBVR
Added Member To Class: ClassName=DAQ_SCH Member=Component U? ADUM3150BRSZ-RL7
