Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
0,0x5E25,-2.7079,-52.7092
1,0x0C05,-9.2760,-180.5582
2,0x58AB,-3.1435,-61.1890
3,0xE009,7.6843,149.5750
4,0xDFEB,7.6734,149.3626
5,0x5DFE,-2.7201,-52.9473
6,0x0C04,-9.2764,-180.5652
7,0x58B8,-3.1395,-61.1108
8,0xE00E,7.6858,149.6045
9,0xDFF4,7.6762,149.4165
10,0x5DEB,-2.7261,-53.0637
11,0x0BE3,-9.2868,-180.7667
12,0x58B2,-3.1414,-61.1481
13,0xE020,7.6914,149.7132
14,0xDFE6,7.6717,149.3305
15,0x5DBE,-2.7402,-53.3382
16,0x0BFA,-9.2796,-180.6276
17,0x58E6,-3.1252,-60.8326
18,0xE03A,7.6995,149.8705
19,0xDFBC,7.6586,149.0742
20,0x5DC1,-2.7393,-53.3208
21,0x0BF6,-9.2809,-180.6527
22,0x590B,-3.1137,-60.6084
23,0xE04F,7.7060,149.9973
24,0xDFB4,7.6560,149.0247
25,0x5DCA,-2.7365,-53.2669
26,0x0BD9,-9.2900,-180.8300
27,0x591B,-3.1088,-60.5120
28,0xE061,7.7116,150.1059
29,0xDFB5,7.6563,149.0298
30,0x5D93,-2.7538,-53.6023
31,0x0BF4,-9.2816,-180.6666
32,0x5922,-3.1066,-60.4703
33,0xE081,7.7215,150.2996
34,0xDF8C,7.6434,148.7796
35,0x5D6D,-2.7657,-53.8343
36,0x0BFA,-9.2798,-180.6310
37,0x5935,-3.1007,-60.3555
38,0xE071,7.7165,150.2015
39,0xDF90,7.6446,148.8031
40,0x5D75,-2.7632,-53.7865
41,0x0BE2,-9.2873,-180.7778
42,0x595F,-3.0876,-60.1009
43,0xE08E,7.7255,150.3770
44,0xDF80,7.6396,148.7049
45,0x5D6B,-2.7664,-53.8482
46,0x0BFA,-9.2799,-180.6327
47,0x598D,-3.0733,-59.8221
48,0xE0B8,7.7386,150.6315
49,0xDF6B,7.6330,148.5762
50,0x5D5E,-2.7705,-53.9282
51,0x0BFC,-9.2793,-180.6215
52,0x5985,-3.0759,-59.8717
53,0xE0B2,7.7367,150.5940
54,0xDF6E,7.6339,148.5934
55,0x5D4D,-2.7759,-54.0326
56,0x0BE5,-9.2865,-180.7623
57,0x5999,-3.0697,-59.7510
58,0xE0BB,7.7394,150.6478
59,0xDF57,7.6266,148.4526
60,0x5D34,-2.7837,-54.1855
61,0x0BEF,-9.2834,-180.7023
62,0x59B5,-3.0610,-59.5816
63,0xE0F1,7.7562,150.9753
64,0xDF3E,7.6188,148.2996
65,0x5D22,-2.7894,-54.2960
66,0x0BF3,-9.2822,-180.6790
67,0x59E4,-3.0463,-59.2967
68,0xE0E7,7.7531,150.9135
69,0xDF32,7.6150,148.2256
70,0x5D1E,-2.7907,-54.3213
71,0x0BDF,-9.2885,-180.8016
72,0x5A01,-3.0373,-59.1213
73,0xE0F7,7.7580,151.0098
74,0xDF27,7.6115,148.1577
75,0x5D01,-2.7998,-54.4986
76,0x0BE8,-9.2858,-180.7478
77,0x5A02,-3.0370,-59.1161
78,0xE112,7.7664,151.1730
79,0xDF07,7.6014,147.9621
80,0x5CFF,-2.8005,-54.5117
81,0x0BEE,-9.2840,-180.7122
82,0x5A00,-3.0377,-59.1293
83,0xE10E,7.7651,151.1478
84,0xDEFB,7.5976,147.8882
85,0x5CEC,-2.8065,-54.6282
86,0x0BE5,-9.2868,-180.7679
87,0x5A2D,-3.0237,-58.8565
88,0xE126,7.7726,151.2928
89,0xDED6,7.5860,147.6622
90,0x5CC3,-2.8193,-54.8785
91,0x0BF8,-9.2809,-180.6532
92,0x5A4F,-3.0131,-58.6506
93,0xE157,7.7878,151.5898
94,0xDEB8,7.5766,147.4787
95,0x5CB9,-2.8225,-54.9403
96,0x0BF7,-9.2813,-180.6603
97,0x5A6F,-3.0032,-58.4570
98,0xE13B,7.7790,151.4185
99,0xDEB6,7.5759,147.4656
100,0x5CAF,-2.8257,-55.0021
101,0x0BE2,-9.2879,-180.7889
102,0x5A5B,-3.0095,-58.5796
103,0xE15E,7.7899,151.6305
104,0xDEA2,7.5696,147.3430
105,0x5C87,-2.8382,-55.2463
106,0x0BF1,-9.2833,-180.6986
107,0x5A6C,-3.0042,-58.4771
108,0xE17D,7.7995,151.8181
109,0xDE9D,7.5680,147.3117
110,0x5C94,-2.8342,-55.1681
111,0x0BF1,-9.2833,-180.6995
112,0x5A97,-2.9908,-58.2165
113,0xE18D,7.8045,151.9144
114,0xDE93,7.5648,147.2498
115,0x5C92,-2.8349,-55.1813
116,0x0BE6,-9.2868,-180.7675
117,0x5AC5,-2.9765,-57.9377
118,0xE192,7.8060,151.9437
119,0xDE81,7.5592,147.1393
120,0x5C91,-2.8353,-55.1884
121,0x0BF1,-9.2834,-180.7016
122,0x5AC7,-2.9759,-57.9266
123,0xE1AE,7.8147,152.1130
124,0xDE87,7.5610,147.1747
125,0x5C5A,-2.8525,-55.5240
126,0x0BEE,-9.2844,-180.7209
127,0x5AC0,-2.9782,-57.9702
128,0xE1AB,7.8137,152.0937
129,0xDE6B,7.5522,147.0034
130,0x5C4A,-2.8576,-55.6223
131,0x0BDA,-9.2907,-180.8435
132,0x5AE2,-2.9676,-57.7644
133,0xE1C2,7.8208,152.2326
134,0xDE38,7.5362,146.6922
135,0x5C5C,-2.8520,-55.5138
136,0x0BE6,-9.2870,-180.7714
137,0x5B13,-2.9523,-57.4674
138,0xE1D7,7.8273,152.3593
139,0xDE4B,7.5421,146.8067
140,0x5C52,-2.8552,-55.5757
141,0x0BE2,-9.2883,-180.7968
142,0x5B17,-2.9511,-57.4441
143,0xE1D5,7.8267,152.3461
144,0xDE34,7.5348,146.6658
145,0x5C29,-2.8680,-55.8261
146,0x0BE4,-9.2877,-180.7857
147,0x5B32,-2.9428,-57.2809
148,0xE1CA,7.8232,152.2781
149,0xDE2E,7.5329,146.6283
150,0x5C24,-2.8696,-55.8575
151,0x0BFA,-9.2809,-180.6529
152,0x5B23,-2.9475,-57.3731
153,0xE1E1,7.8303,152.4170
154,0xDE21,7.5288,146.5482
155,0x5C03,-2.8800,-56.0592
156,0x0BF5,-9.2825,-180.6842
157,0x5B4D,-2.9344,-57.1187
158,0xE1E7,7.8321,152.4525
159,0xDDFB,7.5169,146.3161
160,0x5BF4,-2.8847,-56.1514
161,0x0BDD,-9.2901,-180.8312
162,0x5B76,-2.9217,-56.8703
163,0xE1FF,7.8396,152.5975
164,0xDDEA,7.5115,146.2117
165,0x5BE9,-2.8882,-56.2193
166,0x0BEE,-9.2848,-180.7288
167,0x5B8B,-2.9152,-56.7435
168,0xE237,7.8570,152.9370
169,0xDDE3,7.5093,146.1680
170,0x5BCA,-2.8980,-56.4089
171,0x0BEE,-9.2849,-180.7298
172,0x5B79,-2.9208,-56.8541
173,0xE224,7.8510,152.8204
174,0xDDD8,7.5058,146.1001
175,0x5BD0,-2.8961,-56.3734
176,0x0BE4,-9.2880,-180.7916
177,0x5B96,-2.9118,-56.6787
178,0xE22B,7.8532,152.8620
179,0xDDD4,7.5045,146.0748
180,0x5BBC,-2.9024,-56.4960
181,0x0BE9,-9.2865,-180.7622
182,0x5BCF,-2.8941,-56.3330
183,0xE256,7.8665,153.1224
184,0xDDB5,7.4947,145.8851
185,0x5BBB,-2.9028,-56.5032
186,0x0BEE,-9.2850,-180.7329
187,0x5BCC,-2.8951,-56.3524
188,0xE245,7.8612,153.0180
189,0xDDB5,7.4947,145.8840
190,0x5B9B,-2.9129,-56.6989
191,0x0BDE,-9.2901,-180.8312
192,0x5BC3,-2.8979,-56.4081
193,0xE261,7.8699,153.1872
194,0xDD9A,7.4862,145.7188
195,0x5B83,-2.9204,-56.8458
196,0x0BEC,-9.2857,-180.7470
197,0x5BEC,-2.8852,-56.1597
198,0xE287,7.8817,153.4173
199,0xDD7E,7.4774,145.5474
200,0x5B80,-2.9214,-56.8651
201,0x0BEF,-9.2849,-180.7298
202,0x5C02,-2.8783,-56.0270
203,0xE26D,7.8735,153.2581
204,0xDD8E,7.4823,145.6437
205,0x5B88,-2.9190,-56.8175
206,0x0BD9,-9.2918,-180.8647
207,0x5BFE,-2.8796,-56.0523
208,0xE27F,7.8791,153.3666
209,0xDD77,7.4751,145.5028
210,0x5B60,-2.9315,-57.0618
211,0x0BE9,-9.2868,-180.7684
212,0x5C30,-2.8641,-55.7493
213,0xE2A8,7.8918,153.6148
214,0xDD41,7.4582,145.1733
215,0x5B73,-2.9256,-56.9473
216,0x0BE7,-9.2875,-180.7816
217,0x5C50,-2.8541,-55.5557
218,0xE2AD,7.8934,153.6441
219,0xDD63,7.4687,145.3789
220,0x5B4F,-2.9369,-57.1674
221,0x0BDC,-9.2910,-180.8496
222,0x5C62,-2.8486,-55.4473
223,0xE2B2,7.8949,153.6734
224,0xDD41,7.4581,145.1711
225,0x5B25,-2.9501,-57.4239
226,0x0BEB,-9.2864,-180.7594
227,0x5C56,-2.8524,-55.5214
228,0xE2E1,7.9095,153.9583
229,0xDD3C,7.4564,145.1396
230,0x5B2C,-2.9480,-57.3824
231,0x0BE7,-9.2877,-180.7848
232,0x5C99,-2.8315,-55.1150
233,0xE2DC,7.9079,153.9267
234,0xDD27,7.4498,145.0107
235,0x5B27,-2.9496,-57.4139
236,0x0BDE,-9.2906,-180.8407
237,0x5C9F,-2.8297,-55.0796
238,0xE2E0,7.9091,153.9499
239,0xDD3C,7.4563,145.1373
240,0x5B0A,-2.9587,-57.5914
241,0x0BEA,-9.2869,-180.7688
242,0x5C99,-2.8316,-55.1172
243,0xE311,7.9243,154.2468
244,0xDCFB,7.4359,144.7408
245,0x5B0E,-2.9575,-57.5682
246,0x0BEC,-9.2863,-180.7577
247,0x5CB1,-2.8242,-54.9724
248,0xE311,7.9243,154.2456
249,0xDD09,7.4403,144.8248
250,0x5AF8,-2.9645,-57.7032
251,0x0BDE,-9.2907,-180.8440
252,0x5CE5,-2.8080,-54.6572
253,0xE31B,7.9273,154.3053
254,0xDCEA,7.4305,144.6351
255,0x5AF0,-2.9670,-57.7530
256,0x0BE5,-9.2886,-180.8026
257,0x5CD6,-2.8127,-54.7496
258,0xE33F,7.9385,154.5231
259,0xDCED,7.4314,144.6522
260,0x5AD8,-2.9746,-57.9001
261,0x0BEA,-9.2871,-180.7733
262,0x5CE6,-2.8078,-54.6534
263,0xE33C,7.9375,154.5037
264,0xDCCE,7.4216,144.4625
265,0x5ACD,-2.9781,-57.9681
266,0x0BDF,-9.2906,-180.8413
267,0x5D11,-2.7944,-54.3930
268,0xE341,7.9390,154.5329
269,0xDCD1,7.4225,144.4795
270,0x5AE9,-2.9694,-57.7990
271,0x0BE8,-9.2878,-180.7878
272,0x5D2C,-2.7860,-54.2300
273,0xE364,7.9499,154.7446
274,0xDCD4,7.4234,144.4965
275,0x5AAB,-2.9888,-58.1773
276,0x0BE0,-9.2904,-180.8376
277,0x5D2C,-2.7861,-54.2312
278,0xE35A,7.9467,154.6825
279,0xDCA9,7.4099,144.2338
280,0x5AA2,-2.9917,-58.2332
281,0x0BD1,-9.2951,-180.9300
282,0x5D44,-2.7786,-54.0864
283,0xE374,7.9548,154.8395
284,0xDC9B,7.4055,144.1475
285,0x5A85,-3.0008,-58.4107
286,0x0BE0,-9.2905,-180.8399
287,0x5D70,-2.7650,-53.8199
288,0xE38B,7.9619,154.9782
289,0xDC9F,7.4067,144.1706
290,0x5A9C,-2.9937,-58.2721
291,0x0BD9,-9.2928,-180.8837
292,0x5D58,-2.7725,-53.9671
293,0xE389,7.9612,154.9648
294,0xDCA5,7.4085,144.2059
295,0x5A7B,-3.0041,-58.4740
296,0x0BCD,-9.2966,-180.9578
297,0x5D68,-2.7676,-53.8710
298,0xE398,7.9658,155.0549
299,0xDC7C,7.3956,143.9554
300,0x5A65,-3.0110,-58.6089
301,0x0BE4,-9.2894,-180.8191
302,0x5D76,-2.7633,-53.7870
303,0xE3D4,7.9845,155.4186
304,0xDC75,7.3933,143.9116
305,0x5A87,-3.0004,-58.4034
306,0x0BE1,-9.2904,-180.8386
307,0x5DBB,-2.7418,-53.3686
308,0xE3B9,7.9760,155.2531
309,0xDC7A,7.3948,143.9407
310,0x5A5F,-3.0130,-58.6479
311,0x0BD0,-9.2958,-180.9433
312,0x5DC2,-2.7396,-53.3273
313,0xE3C5,7.9797,155.3248
314,0xDC5B,7.3851,143.7509
315,0x5A44,-3.0215,-58.8134
316,0x0BDA,-9.2928,-180.8836
317,0x5DB4,-2.7441,-53.4136
318,0xE3F3,7.9940,155.6034
319,0xDC3D,7.3757,143.5672
320,0x5A31,-3.0275,-58.9301
321,0x0BCD,-9.2969,-180.9639
322,0x5DE6,-2.7285,-53.1107
323,0xE3E8,7.9905,155.5352
324,0xDC33,7.3725,143.5051
325,0x5A4A,-3.0197,-58.7793
326,0x0BC3,-9.3001,-181.0259
327,0x5DFE,-2.7211,-52.9660
328,0xE3ED,7.9920,155.5644
329,0xDC53,7.3824,143.6985
330,0x5A27,-3.0307,-58.9935
331,0x0BCC,-9.2973,-180.9725
332,0x5E0D,-2.7165,-52.8760
333,0xE41B,8.0063,155.8428
334,0xDC31,7.3717,143.4904
335,0x59FE,-3.0436,-59.2441
336,0x0BC9,-9.2983,-180.9920
337,0x5DF6,-2.7237,-53.0171
338,0xE40F,8.0025,155.7686
339,0xDC2C,7.3701,143.4588
340,0x5A16,-3.0362,-59.0993
341,0x0BBA,-9.3031,-181.0844
342,0x5E14,-2.7144,-52.8359
343,0xE421,8.0081,155.8769
344,0xDC01,7.3566,143.1960
345,0x5A24,-3.0319,-59.0154
346,0x0BC8,-9.2988,-181.0005
347,0x5E3D,-2.7017,-52.5878
348,0xE446,8.0196,156.1006
349,0xDC0F,7.3609,143.2798
350,0x5A10,-3.0382,-59.1384
351,0x0BCA,-9.2982,-180.9896
352,0x5E4D,-2.6967,-52.4918
353,0xE43F,8.0173,156.0567
354,0xDBFA,7.3543,143.1507
355,0x59E9,-3.0504,-59.3769
356,0x0BBB,-9.3030,-181.0821
357,0x5E56,-2.6940,-52.4384
358,0xE446,8.0194,156.0980
359,0xDBE4,7.3473,143.0157
360,0x59D6,-3.0564,-59.4937
361,0x0BC5,-9.2999,-181.0225
362,0x5E81,-2.6806,-52.1781
363,0xE46F,8.0322,156.3460
364,0xDBDC,7.3448,142.9657
365,0x59E5,-3.0518,-59.4038
366,0x0BCC,-9.2978,-180.9813
367,0x5E94,-2.6747,-52.0639
368,0xE45F,8.0271,156.2474
369,0xDBE7,7.3481,143.0312
370,0x59CF,-3.0588,-59.5389
371,0x0BCA,-9.2985,-180.9948
372,0x5EAD,-2.6670,-51.9132
373,0xE46D,8.0314,156.3312
374,0xDBCB,7.3393,142.8596
375,0x59CA,-3.0604,-59.5707
376,0x0BCF,-9.2970,-180.9658
377,0x5E9F,-2.6714,-51.9997
378,0xE494,8.0435,156.5670
379,0xDBC3,7.3367,142.8095
380,0x59AA,-3.0705,-59.7667
381,0x0BD0,-9.2967,-180.9610
382,0x5EB2,-2.6656,-51.8854
383,0xE483,8.0381,156.4623
384,0xDBA2,7.3264,142.6075
385,0x59A2,-3.0730,-59.8166
386,0x0BC5,-9.3002,-181.0292
387,0x5EC3,-2.6603,-51.7833
388,0xE484,8.0384,156.4671
389,0xDBC4,7.3369,142.8130
390,0x59AE,-3.0694,-59.7450
391,0x0BD0,-9.2969,-180.9636
392,0x5EDC,-2.6526,-51.6326
393,0xE4B4,8.0533,156.7576
394,0xDBB8,7.3331,142.7386
395,0x5991,-3.0785,-59.9228
396,0x0BC9,-9.2991,-181.0076
397,0x5EDA,-2.6533,-51.6462
398,0xE4A7,8.0492,156.6772
399,0xDB88,7.3180,142.4453
400,0x5972,-3.0882,-60.1126
401,0x0BC0,-9.3020,-181.0636
402,0x5EE4,-2.6502,-51.5866
403,0xE4AE,8.0513,156.7184
404,0xDB87,7.3176,142.4379
405,0x597F,-3.0842,-60.0348
406,0x0BCD,-9.2980,-180.9858
407,0x5EFC,-2.6428,-51.4420
408,0xE4DE,8.0662,157.0090
409,0xDB7F,7.3151,142.3879
